,L=1,L=2,L=3,L=4
2008-05-06,84.80758451766829,84.59683160190026,84.51140134004628,84.56105639760327
2008-05-07,84.85914623343905,84.62190705053058,84.48601429296279,84.50620678110509
2008-05-08,84.94605272817489,84.58058722226738,84.42908393018514,84.51360277465767
2008-05-09,84.832896192992,84.51794086643977,84.47654657771794,84.49443468072239
2008-05-12,84.76127777582423,84.52512938949816,84.32397047381615,84.3916141412005
2008-05-13,84.74324033540063,84.44727236260849,84.30029895434004,84.441933308541
2008-05-14,84.65794895273592,84.44823578759197,84.30778144675027,84.48957230196405
2008-05-15,84.59170467075833,84.54590046898294,84.31503814354659,84.45499992896939
2008-05-16,84.66831439285313,84.54228376961747,84.20794581363286,84.49287480533202
2008-05-19,84.64843113214083,84.517413037143,84.24559521488176,84.56053356215088
2008-05-20,84.61847703323923,84.44433516793818,84.26695912873281,84.42279260900148
2008-05-21,84.50507048953396,84.41666357165414,84.08480776415887,84.38286671843258
2008-05-22,84.57795989286166,84.3294850832572,84.11271885687374,84.39930609157199
2008-05-23,84.44257395052523,84.37601739856557,84.11182322644876,84.23798903149262
2008-05-26,84.57713079957327,84.48863181181775,84.2719653044903,84.29273083033746
2008-05-27,84.60164786788297,84.45859526886301,84.19227940944516,84.23880211025434
2008-05-28,84.59982322427861,84.42484231601638,84.06083118829008,84.23029469198423
2008-05-29,84.57087990039352,84.3272011087849,84.06369640530032,84.12943067722604
2008-05-30,84.35529441059745,84.16722696022111,83.86012873692728,83.78629102118845
2008-06-02,84.33416989140495,84.04349234230045,83.69232324702628,83.75542343922054
2008-06-03,84.15500457518176,83.91483440904575,83.67445967002686,83.74554948884592
2008-06-04,84.10997219892444,83.92657737597102,83.76759700869799,83.88753022801677
2008-06-05,84.14446006270082,83.9690699872637,83.76766236656663,83.87811208563232
2008-06-06,84.17360240255286,84.09509666981614,83.98416163844152,83.96021805990294
2008-06-09,84.2665964466241,84.1440238638216,84.10336718328756,84.13419452034263
2008-06-10,84.29945775379343,84.1954522665667,84.12728612693397,84.11074271374528
2008-06-11,84.29271457091497,84.25211524599041,84.18129951130398,84.29179793804936
2008-06-12,84.2427450677429,84.1082514940505,84.1429775978203,84.22268206568447
2008-06-13,84.10242219855596,84.00819327636208,84.06446325193397,84.20035366218903
2008-06-16,84.1030672946026,83.98091277778052,84.03324521477735,84.1680697174093
2008-06-17,84.0831876272866,83.96502227646133,84.0269317137598,84.11583930205224
2008-06-18,83.99257005562569,83.87427723287314,83.92286010085972,84.02863219822518
2008-06-19,83.95029597251084,83.82891376709112,83.89865581483377,83.89550714993402
2008-06-20,83.87146400412531,83.78874529783614,83.70592785837187,83.83086915986073
2008-06-23,83.9791907146944,83.87488303958948,84.07043058743712,84.10640960666036
2008-06-24,83.85743137273796,83.85074983666652,84.04022041703195,84.09960446797999
2008-06-25,83.84297855471895,83.8262781074604,84.0176513893095,84.00034877421429
2008-06-26,83.81860751078852,83.85162931742325,84.01967368575713,83.96014628236703
2008-06-27,83.89468400080406,83.92015980220779,84.2371573218126,84.12420847167613
2008-06-30,83.791071128156,83.87290107542586,84.1046607030765,84.0807901445873
2008-07-01,83.8260668508812,83.81662712234198,84.05298026007641,84.05564752829497
2008-07-02,83.81038009992831,83.84150402623244,84.02218205037056,83.99754795006149
2008-07-03,83.88219240578553,83.93373628468012,84.08907608802542,84.06909625304503
2008-07-04,83.84213299510648,83.85608073539157,84.07841055855343,84.08102608192534
2008-07-07,83.80220240811475,83.86609074418931,84.07969163122407,84.06795343982924
2008-07-08,83.77326752870185,83.83268930522728,84.18748109945126,84.08430695950057
2008-07-09,83.63979254832086,83.72148608875919,84.09042856718936,84.06283371946324
