,L=1,L=2,L=3,L=4
2008-05-06,77.05707944559079,77.98752992409106,78.3974821521562,79.32569224855932
2008-05-07,77.13211229853206,78.13562759112332,78.31468283027864,78.88330233076687
2008-05-08,77.32637429383044,77.98242543434935,78.2080238698709,78.69216841863654
2008-05-09,77.00709695280524,77.85564450949138,78.30479404376585,78.47309929300792
2008-05-12,76.78887479553295,77.87295746642738,78.03427165975148,78.436180450799
2008-05-13,76.76335551407152,77.61236288404515,77.80214301645421,78.50158559120578
2008-05-14,76.49152600981871,77.47502368781242,77.89518396797178,78.54063388773093
2008-05-15,76.21554822509331,77.49917548406118,77.93051373059045,78.49472471885593
2008-05-16,76.29136884556496,77.48849275254021,77.91519249604436,78.49395283019402
2008-05-19,76.32823408474381,77.4451389386335,77.92916085759308,78.72889282885043
2008-05-20,76.3775003796637,77.42573007593249,77.94097811041952,78.53715352121283
2008-05-21,76.27369283289657,77.35615268212982,77.72486174901616,78.53287609188972
2008-05-22,76.34570593038114,77.29994248348109,77.80757117838561,78.6603921696222
2008-05-23,76.29100290980496,77.33384022736153,77.86348870234283,78.67672522766952
2008-05-26,76.64610952052446,77.61347160105319,78.07452127776045,78.77829698173727
2008-05-27,76.73232698249181,77.62694220512375,78.06484054975346,78.74516296867323
2008-05-28,76.72318152533256,77.58096385989747,77.91275243581003,78.70690418587178
2008-05-29,76.68933809814766,77.44942838705299,77.91819291074508,78.56303600319042
2008-05-30,76.36373339760148,77.26661560220145,77.57362600338901,78.39296625236449
2008-06-02,76.38873835370993,77.158391708145,77.42508009440249,78.48749982863345
2008-06-03,76.16996562814498,76.98223400117331,77.37087946986185,78.45552180616639
2008-06-04,75.99197118348478,76.95669870966103,77.37616851033708,78.4857316474987
2008-06-05,75.95854934282306,76.96106718002156,77.3443817975149,78.30837050626191
2008-06-06,76.00899651474356,77.0523727059674,77.39802877535911,78.41736297917735
2008-06-09,76.36556906015755,77.25275981990536,77.72267086893828,78.5937703050213
2008-06-10,75.91617515654681,77.05109741429631,77.53276319666718,78.6717562198925
2008-06-11,75.7959095383348,77.07874049451834,77.59958650212998,78.72995522329292
2008-06-12,75.93478865541913,77.07107578631968,77.5518536267659,78.67991902853602
2008-06-13,75.75090704018423,77.00923699090447,77.42326401736116,78.6113571364571
2008-06-16,75.78319808275218,76.96998641510443,77.38134763552448,78.5833550820189
2008-06-17,75.69710923127234,76.91544157097807,77.30739845947912,78.54343156388875
2008-06-18,75.56861801225745,76.97126741880899,77.33690207006133,78.4456569772641
2008-06-19,75.52204025500964,76.94450376332554,77.31507547469357,78.27825685794069
2008-06-20,75.55262482800666,76.96150488901932,77.29257316961119,78.28078277185323
2008-06-23,75.86929144671302,77.13552050118759,77.5939504692939,78.6122279760105
2008-06-24,75.57764707618274,77.01838588234055,77.6411046879391,78.67887150698198
2008-06-25,75.50470598175623,77.04542785558836,77.64391489916842,78.64093300955511
2008-06-26,75.47439604293,77.17594172833583,77.74174201903504,78.79690355388892
2008-06-27,76.01274746911942,77.68112670616159,78.36030382861682,79.34639498692869
2008-06-30,75.80554808860155,77.85383263715737,78.38931142899703,79.45205204966874
2008-07-01,75.86543999521398,77.31728206533009,77.83341214893656,79.04037528760425
2008-07-02,75.87557343320034,77.34728722538303,77.87368273964299,79.08968264768637
2008-07-03,75.99360311905987,77.3859905091316,77.88906448517646,79.08846358275953
2008-07-04,76.05305690999563,77.35133436609564,77.89817408320133,78.91504302350401
2008-07-07,75.97412497857604,77.38866624104502,77.86361403663187,78.898122453342
2008-07-08,75.93695172255481,77.2991017046988,77.8525700291555,78.81324636583521
2008-07-09,75.72242140158811,77.12081075220695,77.59820771499108,78.75279693780706
2008-07-10,75.6466982144528,77.11379765369921,77.65755336034289,78.89332517103082
2008-07-11,75.49363338514752,77.18555313498122,77.69151170800475,79.02142103911962
2008-07-14,75.59727618290991,77.10692564402115,77.63772476765513,78.90399471830379
2008-07-15,75.48765156466337,77.02102796182446,77.51987979451602,78.83989084762183
2008-07-16,75.37834360968327,77.13245570678416,77.42960036095708,78.73779309845176
2008-07-17,75.22588128112653,76.98878560222231,77.29329134803793,78.61359262068763
2008-07-18,75.1484404874322,76.96791258163546,77.17952150748386,78.53757439814079
2008-07-21,74.99572220638562,76.8325550387026,77.07068098078955,78.42281814631895
2008-07-22,74.98089845012488,76.7718057775293,77.00440545885199,78.17541677623869
2008-07-23,74.84666099569237,76.63130598078186,76.79385831626414,78.14892642247484
2008-07-24,74.76093980380924,76.36586372454137,76.83495581303511,78.1218810407394
2008-07-25,74.53692508975483,76.44960016918324,76.8285426220809,78.14161861492784
2008-07-28,74.46494725946874,76.34632565150547,76.8567105744283,78.26406115071089
2008-07-29,74.44448793397,76.21637520727907,76.81592584022816,78.23824667292222
2008-07-30,74.49433620654354,76.26261868058656,76.80359693567468,78.28432771357488
2008-07-31,74.66501552868058,76.15681720938946,76.71770942389799,78.08143252407325
2008-08-01,74.57563166212404,75.86805997071254,76.48105864236467,77.92118264908385
2008-08-04,74.59436530247089,75.95523723010137,76.56414123343352,77.77297803761435
2008-08-05,74.62325498032797,75.94787767383336,76.42590764822111,77.58986015110195
2008-08-06,74.84341654417109,76.01386373932019,76.59014627761591,77.63835364825104
2008-08-07,74.93381844299142,76.13116223952188,76.61533796390006,77.56195675588815
2008-08-08,74.97632113737018,76.02933883860103,76.40024370351796,77.56692757973678
2008-08-11,75.1128263853975,76.03616213694626,76.33908932876614,77.68806147691508
2008-08-12,75.09003351838372,75.98688604132917,76.58225563116326,77.6438507048458
2008-08-13,74.9070298132548,76.09322154149623,76.39746311012571,77.51579426521009
2008-08-14,75.18217488016262,76.12558853178322,76.37218411877477,77.51898869210882
2008-08-15,75.07862295626748,76.06858693110891,76.29555023402249,77.55538781000101
2008-08-18,74.92577895548615,75.94701640973716,76.33245233898874,77.68507760619381
2008-08-19,74.76203919548509,75.9700986666885,76.46638562614076,77.69632129007266
2008-08-20,74.69768876097635,76.15600754475493,76.45767372407465,77.6652245096446
2008-08-21,74.71314083863541,76.14475364412945,76.45064073061263,77.69690177625299
2008-08-22,74.66497716619513,76.00995473291835,76.32833609704052,77.33778339737344
2008-08-25,74.83487560649567,76.08303321946696,76.34023796229816,77.33945070647123
2008-08-26,74.97390348889627,76.17687535462515,76.42317488282076,77.42159585773582
2008-08-27,74.93270811391349,76.16515651037892,76.46041186385132,77.36077838700443
2008-08-28,74.9430439891151,76.18268899106185,76.42297482641348,77.4427345660267
2008-08-29,74.9905451602185,76.20884316857023,76.51480038326002,77.15777988142882
2008-09-01,75.08769963953232,76.30479237481745,76.23235942794652,77.22281265786638
2008-09-02,75.0149654283932,76.02648735913048,76.27930193222122,77.28769486650519
2008-09-03,74.70758963651161,76.11363086201634,76.4550971445589,77.51491686753535
2008-09-04,74.73506215251794,76.15774414395187,76.5099904870319,77.59522049883417
2008-09-05,74.81332801544468,76.14964202335041,76.55389675161346,77.5852410803092
2008-09-08,74.75428686195883,76.1852522757345,76.53228947320105,77.64203326620928
2008-09-09,74.8774561141967,76.36801475032166,76.7444794416824,77.72823558808922
2008-09-10,75.02092297985081,76.89588476866902,77.28131617189709,78.18713591686026
2008-09-11,75.05244482482341,77.04315050086699,77.27827267544676,77.90894887589802
2008-09-12,75.09868575684058,77.01168829278056,77.08216146303499,77.97128676220503
2008-09-15,75.08387746961623,76.74257872800382,76.86956987350267,77.90503904928
2008-09-16,75.30358738471335,77.10747307991888,77.10779719089197,78.15730275073761
2008-09-17,75.32563791721354,77.03021173088825,77.04484762360563,77.98843472535788
2008-09-18,75.60303682086656,77.07415209898345,76.82748441022667,77.83799278507809
2008-09-19,75.63332458431448,77.07137284317798,76.82900896944643,77.77623091889701
2008-09-22,75.41508788416168,76.5771451928964,76.64036417148029,77.74197482252067
2008-09-23,75.7263288222814,76.71962446764914,77.32543699036073,78.05042018368721
2008-09-24,75.76142545994247,76.7799566977819,77.36367679859617,78.05354384874988
2008-09-25,75.71237110350265,76.7111826732302,77.21576143108146,77.94193819926005
2008-09-26,75.79216740029537,76.89882975014667,77.27818878042288,77.75580476748695
2008-09-29,75.74105666900864,76.88268000550464,77.27509150213481,77.5403533515402
2008-09-30,77.36020482488107,78.24747943400126,78.39965700469021,78.18328942049472
2008-10-01,77.13570806694185,78.07040750113649,78.2449909431197,78.01878773121436
2008-10-02,77.0034543998718,77.88491335790204,78.13100982955716,77.8422696048524
2008-10-03,77.09394872824166,77.96551012149556,78.20928291481191,77.79329909869604
2008-10-06,77.16783894258941,78.09611335955573,78.31416186913022,77.86605231923085
2008-10-07,77.27723198828721,78.27672593063957,78.65565146663918,78.12104840240573
2008-10-08,77.7247686057774,78.71473295926434,78.78624374250519,78.40084344344022
2008-10-09,77.552103778401,78.65080575873549,78.85332059266726,78.34805002009503
2008-10-10,79.2013773966142,80.57769811051628,80.20755185117662,79.61345089329542
2008-10-13,79.30696887733691,80.51058179674507,79.7790859115056,79.22843759608446
2008-10-14,81.39849476792952,81.56650860386051,80.81335674614732,80.84458979423755
2008-10-15,80.95656032338206,81.12697421154206,80.56083890831519,80.5795436845647
2008-10-16,82.2990866194977,81.54016681912492,80.91611686010435,80.80116288488783
2008-10-17,82.1988028006872,81.40175975027188,80.38662810418742,80.24551630974965
2008-10-20,82.41933718017962,81.47802309322681,80.43179108338346,80.3219702456177
2008-10-21,82.45183021351016,81.73974404387985,80.58101407043141,80.99178288305558
2008-10-22,82.39041095667173,81.58302120672725,80.83944786701454,81.06109748292654
2008-10-23,82.39341928152143,81.25397236406666,80.41501656725231,80.35847176020687
2008-10-24,82.34641277468168,81.28415530326257,80.45171476219232,80.47175280179331
2008-10-27,82.35695283023962,81.1717842910358,80.52765529869076,80.5704014555886
2008-10-28,82.477735066711,81.20939727531086,80.41239500198128,80.47697489229462
2008-10-29,83.70929373792939,82.665453181292,81.67520614489563,81.76823069361467
2008-10-30,83.70828071774477,82.42400775946611,81.4670454857474,81.57613265563964
