,Mean (%),Std. dev. (%),Skewness,Kurtosis,Jarque-Bera
IYJ,0.02429948659512268,1.3528878867774234,-0.39587414005787913,9.668114485746798,5576.843974340239
IYM,0.013125790214125063,1.7384581400613774,-0.6464303608385045,11.094474975700614,8311.49638302448
VAW,0.016866233492364133,1.585476529524228,-0.5896274821083958,10.499589158741049,7128.961402887729
VFH,0.0075687245611323565,1.882779432418116,-0.14669023769055928,16.31538871787508,21944.951964952248
VIS,0.02202405481772139,1.3958053247576825,-0.35796661657109574,9.756086438387076,5708.7650974728695
XLB,0.016424146343141783,1.5418349461035519,-0.24786885244767368,10.930143540752923,7808.849750518977
XLE,0.0015556572555718317,1.7973291916782197,-0.5275765362081365,14.578799460585921,16723.38623911945
XLF,0.002465260404516667,2.0888147323147677,-0.08009771810670471,17.41972523031218,25727.250551504698
XLI,0.02391428726411714,1.352603649550781,-0.2044535263117624,9.83154657342762,5792.773457708458
XME,-0.02245190519870985,2.538811833250829,-0.429354159558117,9.568472236634323,5427.384643116445
