,Constant,Supply shock,Demand shock,Risk shock,Aggregate market,R-squared
IYJ,0.00014982447065862,-0.018992692208782243,-0.1302979866210331,-0.001268839169496371,0.8811532048308726,0.9243181765610197
IYM,2.4866580901922988e-05,0.03156767315350402,0.08804558305106167,-0.0024022955008714316,1.0065325707580148,0.9181718738928972
VAW,6.660360879686298e-05,0.006380605467882659,0.013966924069140203,-0.00103505482763844,0.9650862798164039,0.9350442419454295
VFH,-6.983824239081118e-05,-0.06650207373361432,-0.35179633516074066,0.04557485105671294,1.3591750111441105,0.7907660054093348
VIS,0.000122369948215868,-0.021778926374666774,-0.14124457556977804,0.0028033611066098823,0.9241158173446165,0.9204723957287577
XLB,6.832287039458567e-05,0.013192028603245781,0.0073944654256810835,-0.004403224154829577,0.9082592018940903,0.8909090653283336
XLE,-6.743402598154392e-06,0.04868078916579342,0.8117762274422047,-0.10608074816447662,0.24898661873098404,0.952628038371411
XLF,-0.00013371493307509386,-0.07732554479587317,-0.37379407695336286,0.05023044002768286,1.4788886323269306,0.7631813260417725
XLI,0.00014906026052733114,-0.026357221706318837,-0.12891649860150128,-0.0033144694992135585,0.8527023765978043,0.880615824702388
XME,-0.000370751161431306,0.11113536242883229,0.20486627291830126,0.019895979125528526,1.3751002865562305,0.7840169973132902
