,Constant,Supply shock,Demand shock,Risk shock,Aggregate market,R-squared
IYJ,0.00011376847605898699,-0.024569063669544214,-0.12182204346359693,-1.5702200896832406e-06,0.9122574494496688,0.8998634094129598
IYM,-5.8545455183409685e-05,0.017025273120660912,-0.06353499053843913,0.019736149495184162,1.171723017578857,0.9001368099789895
VAW,-3.3510394455844476e-05,0.005776104709033182,-0.08221418674014289,0.01839520373917087,1.131662922464694,0.9233223302577094
VFH,0.00016219861376325092,-0.02445531451513627,-0.16122724498624164,0.004481352439283662,0.928961956415476,0.7604248422010405
VIS,6.440854570898227e-05,-0.025790785587376217,-0.13843429110666725,0.004643182676904133,0.9549567603627271,0.8978810816028348
XLB,8.299033125275251e-06,0.005534347622005805,-0.06879504348022576,0.01417004050364536,1.0815297349463124,0.8830944775295841
XLE,1.9343386416893378e-05,0.006138536443303739,0.9889157302031004,-0.14419492817321133,0.007647283712754806,0.9940654927206397
XLF,0.00015646136662261472,-0.023180951694526702,-0.17059514969897627,0.0040844171457545,0.9679089784978523,0.7540191601206213
XLI,0.0001047991749184868,-0.02903998833345528,-0.13760837992814912,0.004167929732696715,0.9392216028469168,0.8742394262275407
XME,-0.0005372227469752331,0.09256184190502942,-0.044684400260665155,0.07451822266066041,1.9041302937247229,0.6306991072042467
