,XLE,XLB,XLI,XLF,XME,VAW,VIS,VFH,IYM,IYJ,supply,demand,risk
XLE,13.681467599582298,9.24797801327098,7.8382821301617875,5.545586730539063,8.663324689135365,9.681741402850069,8.167759001187875,5.76047473449049,9.996430443785796,8.280261845864572,0.12236564059697667,8.217724953166604,4.796602815368133
XLB,8.175702367083971,11.971095879932827,9.052283226563555,6.101496806548416,8.505134023372483,11.516463823005733,9.253788696537313,6.414313423469296,11.225630974928121,9.362077902366327,0.05179913358196811,3.173336247432822,5.196877495177171
XLI,7.030906018727798,9.20228291760441,12.17510196893027,7.5831093804615985,6.463717873348752,9.339944067755738,11.695739298530556,8.05036422824463,8.805795336306883,11.653052668995999,0.12263688857039265,1.9640404609438282,5.913308891579131
XLF,6.122054623308705,7.586959489732472,9.214327037123752,14.874755119582941,5.388106200203361,8.153639088272007,9.839370248292015,14.462884482990754,7.489049546792785,9.899484923493079,0.15473147368982415,1.832814107567234,4.9818236589510585
XME,9.16169142907235,10.183696929321155,7.602209787083296,5.174497526533265,14.323810080208297,11.085292793912917,8.211654439172369,5.472963661605719,11.656142692141344,8.183088854421268,0.09266087468010833,4.915294663674133,3.936996268173783
VAW,8.24639032948423,11.083811174449819,8.84434497705622,6.333183442830875,8.905900682007099,11.517791633690354,9.361411202738367,6.675800193960938,11.212071420856534,9.433768436383176,0.04452989668685876,3.3155094457544747,5.02548716410107
VIS,7.081714615942296,9.064196640781415,11.278464907098032,7.823767775099813,6.720089203873611,9.527626284713019,11.732588017484808,8.305394464694817,8.98726107776779,11.598058883811948,0.11088903053257221,2.075751211953093,5.694197886246792
VFH,6.129275735557361,7.683305075740357,9.422579035038186,13.915652502683324,5.498167738885713,8.288441424853474,10.070713812626645,14.306003842130318,7.61273644478013,10.084429667261038,0.15295187160864968,1.8175879798631622,5.018154868971673
IYM,8.70293113024806,11.034134058428592,8.515370345468941,5.930057828311287,9.56656416474489,11.452243100450783,9.021164520855598,6.249373051293476,11.764903585724289,9.080441571232635,0.05324106355833289,3.8540627785640504,4.775512801119065
IYJ,7.1467660915376845,9.12701717925344,11.185262995168724,7.8295044717143325,6.664598760117777,9.556816135934355,11.544346331283291,8.274755800655635,9.004667203719773,11.678618988004946,0.0879886924608602,2.048935969945142,5.850721380204052
supply,1.9753488512251263,1.3106665408888567,1.3542300496972823,1.8646028954860097,1.2148355011515832,1.4222912353023331,1.2938725658850057,1.8328980013415235,1.3886268575896987,1.318441074328678,82.64957936561918,1.676874546624238,0.6977325148604832
demand,16.89077494335893,7.360733408398206,4.534526200137901,3.3366231633568533,9.460815779890945,7.977961332462104,4.921966136978248,3.4111038335714183,9.04544009965452,4.88069101577478,0.11077800636395846,28.00639460820736,0.062191471844775525
risk,6.9733759376381705,8.562956669436627,9.576496305948538,6.652989817709416,5.436629178966719,8.604933799166313,9.564929028284794,6.96792193765063,8.007212115678183,9.872689665718694,0.02463756294145863,0.028658111260413247,19.72656986960004
