,XLK,XLY,XLP,XLV,XLU,IYW,IYC,IYK,IYH,supply,demand,risk
XLK,15.058807021302822,10.857463429143335,7.400530199918139,8.104418712306714,5.001442800885571,14.368248396274819,11.30557092755955,9.954503127740875,8.828115328538566,0.08035836629332449,1.6666517528283589,7.373889937207913
XLY,10.943320537283824,15.044379212128378,8.146255755416016,8.078627010189674,4.952682522596228,10.560911459339783,14.27604334486732,10.979385335036076,8.78816368831009,0.12369288469210794,1.493118719524756,6.613419530615731
XLP,8.39138098597198,9.145785724398731,17.15544665901713,9.037429080957923,7.893808805695592,7.37968778949515,10.231334269101426,14.075879149042583,9.16932604338299,0.15682614006703122,1.0395881446788313,6.323507208190622
XLV,8.717068798276161,8.640653766798625,8.641234175549192,16.42718229128913,5.381494607581092,8.271866911774376,9.794220350385231,9.94124839060187,15.577453935715171,0.1906519191272356,0.915832053882552,7.501092799019348
XLU,7.772920781887134,7.601279807741869,10.95230408214929,7.72791230635703,23.946200636528715,6.5163267963934235,8.10326662946407,11.38032942164329,7.932268778768026,0.24388726424707657,3.1504711702968877,4.6728323245231875
IYW,15.018557041202858,10.954828306751581,6.807974698397731,8.011161684569382,4.374546564361816,15.682550269600764,11.414656025446462,9.73059055791514,8.772535657545182,0.08173703678246882,1.5826705267440382,7.568191630682576
IYC,10.821485208214634,13.597282725255708,8.634691878928248,8.664912184701947,4.968537106161961,10.46490989942888,14.359034211598996,10.862776042940837,9.311139072957348,0.13457755262165355,1.2518619694272108,6.928792147762566
IYK,9.609658680936558,10.492836540931874,11.963328266228517,8.83638375034329,7.008453627383656,8.993730681826431,10.932372894916991,14.542056463487615,9.23904935426727,0.1608963529146314,1.5504787818129688,6.670754604950195
IYH,9.146078211065769,9.050034685559103,8.42227889520553,14.946977235823656,5.292205271281115,8.713674146170945,10.12690182246053,9.98175626299481,15.71686829974871,0.14090093584170765,1.0230115138412899,7.439312720006838
supply,1.1501967804809619,1.268139602617898,1.432114753292065,1.3908466022020056,2.1158274715253405,1.0234745459814316,1.6680757453006054,1.5595985193332982,1.1713842247252093,85.08520136276303,1.4962549686585038,0.6388854231196519
demand,5.868610999934501,5.303484868695194,3.311629139482509,2.990903576879446,7.486676778068365,5.408348350416143,4.731204128254138,5.877279457039403,3.5309313943367227,0.1708504975243203,55.170963282344196,0.14911752702506456
risk,10.112313371723216,9.031529260133341,7.589714992650648,9.440843409582946,4.065073361759055,9.944645126801746,9.928395100167743,9.478967108809949,9.760659693710776,0.022547027422683025,0.03208794332058069,20.59322360391732
